"Refid","Bibliography","User","Ris Code","Level","Study ES List_k","effect_intervention_group","effect_comparison_group","effect_outcome","effect_outcome_type","effect_report_number","effect_page","effect_type","effect_timing","effect_favored","effect_icc","effect_intervention_baseline_participants","effect_comparison_baseline_participants","effect_intervention_followup_participants","effect_comparison_followup_participants","effect_intervention_baseline_classrooms","effect_comparison_baseline_classrooms","effect_intervention_followup_classrooms","effect_comparison_followup_classrooms","effect_intervention_baseline_schools","effect_comparison_baseline_schoools","effect_intervention_followup_schools","effect_comparison_followup_schools","effect_intervention_baseline_mean","effect_intervention_baseline_sd","effect_intervention_followup_mean","effect_intervention_followup_sd","effect_comparison_baseline_mean","effect_comparison_baseline_sd","effect_comparison_followup_mean","effect_comparison_followup_sd","effect_intervention_n_successful","effect_intervention_n_unsuccessful","effect_comparison_n_successful","effect_comparison_n_unsuccessful","effect_size_type -> NA - I entered the necessary information above","effect_size_type -> Means and Standard Errors (SEs)","effect_size_type -> Independent t-test","effect_size_type -> One-way ANOVA F-test (with df = 1)","effect_size_type -> Chi-squared test statistic (with df = 1)","effect_size_type -> Unstandardized regression coefficient for treatment dummy indicator","effect_size_type -> Standardized regression coefficient for treatment dummy indicator","effect_size_type -> Author-reported odds ratio","effect_size_type -> Author-reported standardized mean difference","effect_size_type -> Insufficient information to calculate effect size","effect_r_squared","effect_SE_intervention_mean","effect_SE_intervention_se","effect_SE_comparison_mean","effect_SE_comparison_se","effect_t_test","effect_f_test","effect_chi_square","effect_unstandardized_coefficient","effect_unstandardized_sd","effect_standardized_coefficient","effect_standardized_sd","effect_or","effect_or_ci_lower","effect_or_ci_upper","effect_smd","effect_smd_ci_lower","effect_smd_ci_upper","effect_notes"
10032,"Mifsud, et al 2005 ",mschweer,,8,"1-Cool Kids Program-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report-Continuous-0","1-Cool Kids Program",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report",Continuous,10032,1000,Post-test,0,Intervention,-999,,,46,30,,,-999,-999,,,5,4,,,39.9,27.1,,,49.6,27.6,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Mifsud, et al 2005 ",mschweer,,8,"1-Cool Kids Program-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report-Continuous","1-Cool Kids Program",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child Self-Report",Continuous,10032,1000,Pretest,,Comparison,-999,51,40,,,-999,-999,,,5,4,,,50.0,28.0,,,46.7,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-4-Culture-free Self Esteem Questionnaire-Self-Esteem-Continuous","1-FRIENDS for Life",2-Waitlist,"4-Culture-free Self Esteem Questionnaire-Self-Esteem",Continuous,10038,"58, 61",Pretest,,Comparison,-999,27,31,,,-999,-999,,,-999,-999,,,82.78,14.82,,,86.77,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T1 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-4-Culture-free Self Esteem Questionnaire-Self-Esteem-Continuous-0","1-FRIENDS for Life",2-Waitlist,"4-Culture-free Self Esteem Questionnaire-Self-Esteem",Continuous,10038,"58, 61",Post-test,0,Comparison,-999,,,27,31,,,-999,-999,,,-999,-999,,,90.78,16.44,,,91.38,14.99,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T2 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-0","1-FRIENDS for Life",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10038,"58, 61",Post-test,0,Intervention,-999,,,27,31,,,-999,-999,,,-999,-999,,,26.48,13.15,,,30.06,14.84,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T2 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous","1-FRIENDS for Life",2-Waitlist,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10038,"58, 61",Pretest,,Comparison,-999,27,31,,,-999,-999,,,-999,-999,,,15.56,9.16,,,13.48,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T1 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous","1-FRIENDS for Life",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10038,"58, 61",Pretest,,Comparison,-999,27,31,,,-999,-999,,,-999,-999,,,35.48,18.48,,,35.09,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T1 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-0","1-FRIENDS for Life",2-Waitlist,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10038,"58, 61",Post-test,0,Intervention,-999,,,27,31,,,-999,-999,,,-999,-999,,,10.81,8.00,,,12.84,7.25,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T2 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-4-Culture-free Self Esteem Questionnaire-Self-Esteem-Continuous-0","1-FRIENDS for Life",2-Waitlist,"4-Culture-free Self Esteem Questionnaire-Self-Esteem",Continuous,10038,"58, 61",Post-test,0,Comparison,-999,,,27,31,,,-999,-999,,,-999,-999,,,90.78,16.44,,,91.38,14.99,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T2 scores"
10038,"Liddle, et al 2010 ",spgrant,,8,"1-FRIENDS for Life-2-Waitlist-4-Culture-free Self Esteem Questionnaire-Self-Esteem-Continuous","1-FRIENDS for Life",2-Waitlist,"4-Culture-free Self Esteem Questionnaire-Self-Esteem",Continuous,10038,"58, 61",Pretest,,Comparison,-999,27,31,,,-999,-999,,,-999,-999,,,82.78,14.82,,,86.77,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T1 scores"
10038,"Liddle, et al 2010 ",mschweer,,8,"1-FRIENDS for Life-2-Waitlist-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous","1-FRIENDS for Life",2-Waitlist,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10038,"58, 61",Pretest,,Comparison,-999,27,31,,,-999,-999,,,-999,-999,,,15.56,9.16,,,13.48,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T1 scores"
10038,"Liddle, et al 2010 ",mschweer,,8,"1-FRIENDS for Life-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous","1-FRIENDS for Life",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10038,"58, 61",Pretest,,Comparison,-999,27,31,,,-999,-999,,,-999,-999,,,35.48,18.48,,,35.09,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"T1 scores"
10038,"Liddle, et al 2010 ",mschweer,,8,"1-FRIENDS for Life-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child-Continuous-0","1-FRIENDS for Life",2-Waitlist,"1-Spence Children&rsquo;s Anxiety Scale-SCAS - Child",Continuous,10038,"58, 61",Post-test,0,Intervention,-999,,,27,31,,,-999,-999,,,-999,-999,,,26.48,13.15,,,30.06,14.84,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T2 scores"
10038,"Liddle, et al 2010 ",mschweer,,8,"1-FRIENDS for Life-2-Waitlist-3-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-0","1-FRIENDS for Life",2-Waitlist,"3-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10038,"58, 61",Post-test,0,Intervention,-999,,,27,31,,,-999,-999,,,-999,-999,,,10.81,8.00,,,12.84,7.25,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"T2 scores"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-4-Schedule for Affective Disorders and Schizophrenia for School-age Children (K-SADS-P/L)-K-SADS-P/L-Categorical",1-FRIENDS,"2-No Treatment","4-Schedule for Affective Disorders and Schizophrenia for School-age Children (K-SADS-P/L)-K-SADS-P/L",Categorical,10043,302,Pretest,,Comparison,-999,136,124,,,-999,-999,,,10,9,,,,,,,,,,,94,42,97,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.8% met criteria in the intervention sample, and 22.0% in the control sample"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous",1-FRIENDS,"2-No Treatment","1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10043,303,Pretest,,Comparison,0.083,136,124,,,-999,-999,,,10,9,,,15.9,5.0,,,14.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-104",1-FRIENDS,"2-No Treatment","1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10043,303,Post-test,104,"Neither - exactly equal",0.083,,,111,117,,,-999,-999,,,10,9,,,11.3,6.8,,,11.3,6.1,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=1.52, NS"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-208",1-FRIENDS,"2-No Treatment","1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10043,303,Post-test,208,Intervention,0.083,,,103,86,,,-999,-999,,,10,9,,,10.2,6.5,,,10.9,6.5,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=4.53, p<0.05"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-2-Children&#039;s Depression Inventory (CDI)-CDI-Continuous",1-FRIENDS,"2-No Treatment","2-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10043,303,Pretest,,Comparison,0.048,136,124,,,-999,-999,,,10,9,,,14.3,8.2,,,12.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-2-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-104",1-FRIENDS,"2-No Treatment","2-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10043,303,Post-test,104,Comparison,0.048,,,111,117,,,-999,-999,,,10,9,,,11.6,8.3,,,11.4,8.3,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=0.67, NS"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-2-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-208",1-FRIENDS,"2-No Treatment","2-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10043,303,Post-test,208,Intervention,0.048,,,103,86,,,-999,-999,,,10,9,,,10.2,8.0,,,10.8,8.5,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=1.80, NS"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-3-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous",1-FRIENDS,"2-No Treatment","3-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10043,303,Pretest,,Comparison,0.079,136,124,,,-999,-999,,,10,9,,,38.1,15.3,,,32.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-3-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-104",1-FRIENDS,"2-No Treatment","3-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10043,303,Post-test,104,Comparison,0.079,,,111,117,,,-999,-999,,,10,9,,,27.2,16.0,,,24.7,14.0,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=0.23, NS"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-3-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-208",1-FRIENDS,"2-No Treatment","3-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10043,303,Post-test,208,Intervention,0.079,,,103,86,,,-999,-999,,,10,9,,,23.7,14.5,,,23.9,15.3,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=3.12, NS"
10043,"Hunt, et al 2009 ",spgrant,,8,"1-FRIENDS-2-No Treatment-4-Schedule for Affective Disorders and Schizophrenia for School-age Children (K-SADS-P/L)-K-SADS-P/L-Categorical",1-FRIENDS,"2-No Treatment","4-Schedule for Affective Disorders and Schizophrenia for School-age Children (K-SADS-P/L)-K-SADS-P/L",Categorical,10043,302,Pretest,,Comparison,-999,136,124,,,-999,-999,,,10,9,,,,,,,,,,,94,42,97,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.8% met criteria in the intervention sample, and 22.0% in the control sample"
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous",1-FRIENDS,"2-No Treatment","1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10043,303,Pretest,,Comparison,0.083,136,124,,,-999,-999,,,10,9,,,15.9,5.0,,,14.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-104",1-FRIENDS,"2-No Treatment","1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10043,303,Post-test,104,"Neither - exactly equal",0.083,,,111,117,,,-999,-999,,,10,9,,,11.3,6.8,,,11.3,6.1,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=1.52, NS"
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-208",1-FRIENDS,"2-No Treatment","1-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10043,303,Post-test,208,Intervention,0.083,,,103,86,,,-999,-999,,,10,9,,,10.2,6.5,,,10.9,6.5,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=4.53, p<0.05"
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-2-Children&#039;s Depression Inventory (CDI)-CDI-Continuous",1-FRIENDS,"2-No Treatment","2-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10043,303,Pretest,,Comparison,0.048,136,124,,,-999,-999,,,10,9,,,14.3,8.2,,,12.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-2-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-104",1-FRIENDS,"2-No Treatment","2-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10043,303,Post-test,104,Comparison,0.048,,,111,117,,,-999,-999,,,10,9,,,11.6,8.3,,,11.4,8.3,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=0.67, NS"
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-2-Children&#039;s Depression Inventory (CDI)-CDI-Continuous-208",1-FRIENDS,"2-No Treatment","2-Children&#039;s Depression Inventory (CDI)-CDI",Continuous,10043,303,Post-test,208,Intervention,0.048,,,103,86,,,-999,-999,,,10,9,,,10.2,8.0,,,10.8,8.5,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=1.80, NS"
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-3-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous",1-FRIENDS,"2-No Treatment","3-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10043,303,Pretest,,Comparison,0.079,136,124,,,-999,-999,,,10,9,,,38.1,15.3,,,32.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-3-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-104",1-FRIENDS,"2-No Treatment","3-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10043,303,Post-test,104,Comparison,0.079,,,111,117,,,-999,-999,,,10,9,,,27.2,16.0,,,24.7,14.0,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=0.23, NS"
10043,"Hunt, et al 2009 ",mschweer,,8,"1-FRIENDS-2-No Treatment-3-Spence Children&rsquo;s Anxiety Scale-SCAS-Continuous-208",1-FRIENDS,"2-No Treatment","3-Spence Children&rsquo;s Anxiety Scale-SCAS",Continuous,10043,303,Post-test,208,Intervention,0.079,,,103,86,,,-999,-999,,,10,9,,,23.7,14.5,,,23.9,15.3,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F(1,257)=3.12, NS"
10060,"Wong, et al 2014 ",strevino,,8,"2-Thiswayup Schools: Combating Depression-3-TAU-3-Kessler psychological distress scale - short form (K6)-K6-Continuous","2-Thiswayup Schools: Combating Depression",3-TAU,"3-Kessler psychological distress scale - short form (K6)-K6",Continuous,10060,93,Pretest,,Intervention,-999,380,224,,,-999,-999,,,5,3,,,18.23,5.34,,,18.56,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,"Wong, et al 2014 ",strevino,,8,"2-Thiswayup Schools: Combating Depression-3-TAU-2-Patient Health Questionnaire - short form (PHQ-5)-PHQ-5-Continuous","2-Thiswayup Schools: Combating Depression",3-TAU,"2-Patient Health Questionnaire - short form (PHQ-5)-PHQ-5",Continuous,10060,93,Pretest,,Comparison,-999,380,224,,,-999,-999,,,5,3,,,3.08,2.96,,,2.55,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,"Wong, et al 2014 ",strevino,,8,"2-Thiswayup Schools: Combating Depression-3-TAU-1-GAD-7-GAD-7-Continuous","2-Thiswayup Schools: Combating Depression",3-TAU,1-GAD-7-GAD-7,Continuous,10060,93,Pretest,,Comparison,-999,380,224,,,-999,-999,,,5,3,,,4.81,4.58,,,4.15,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
