"Refid","Bibliography"
1109,"Tatian, Julie Lauren (2022).  Factors Contributing to Suicide Risk Amongst California High School Students , (),  57. "
1110,"Pino, Olimpia, Rosalinda Trevino Cadena, Poli, Diana (2022).  A Comprehensive Review on Multifaceted Mechanisms Involved in the Development of Breast Cancer Following Adverse Childhood Experiences (ACEs) International Journal of Environmental Research and Public Health, 19(19),  12615. 10.3390/ijerph191912615"
1113,"Makol, Bridget Alexis (2022).  Bias versus Context Models for Integrating Multi-Informant Reports of Youth Mental Health , (),  190. "
1114,"Agarwal, Ritu (2022).  Contemporary Attachment: Expert Review of a Webinar Outlining Affect Regulation in Elementary Age Children with Developmental Trauma , (),  205. "
1116,"Gregory, Sonji D, Park, Jennifer S (2022).  Mass School Shootings: Review of Mental Health Recommendations School Mental Health, 14(3),  640. 10.1007/s12310-021-09489-9"
1117,"Bryning, Lucy (2022).  Exploring the Economic Case for Universal and Targeted Mindfulness-Based Approaches to Prevention: the Trial Feasibility Stage , (),  454. "
1118,"Martínez-García, Ariadna (2022).  Contributions of Universal School-Based Mental Health Promotion to the Wellbeing of Adolescents and Preadolescents: A Systematic Review of Educational Interventions Health Education, 122(5),  564. 10.1108/HE-07-2021-0106"
1119,"Dias, Isabel, Lopes, Alexandra, Azevedo, José, Maia, Ana Sofia, João Santos Baptista (2022).  Cleaning in Times of Pandemic: Perceptions of COVID-19 Risks among Workers in Facility Services Social Sciences, 11(7),  276. 10.3390/socsci11070276"
1120,"Saeed, Bareera, Batool, Syeda Shahida, Batool, Syeda Azra, Saeed, Hadia, Khan, Ayesha (2022).  Impact Of COVID-19 Pandemic On Mental Health In Pakistan: A Systematic Review Webology, 19(3),  2453. "
1121,"Choi, Kristen R, O’Malley Corey, Ijadi-Maghsoodi Roya, Tascione Elyse, Bath Eraka, Zima, Bonnie T (2022).  A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies School Mental Health, 14(2),  431. 10.1007/s12310-021-09477-z"
1122,"Nisar, Hiren, Elgin, Dallas, Bradshaw, Catherine, Dolan, Virginia, Frey, Andy, Horner, Rob, Owens, Julie, Perales, Kelly, Sutherland, Kevin (2022).  Promoting Social and Behavioral Success for Learning in Elementary Schools: Practice Recommendations for Elementary School Educators, School and District Administrators, and Parents , (),  . "
1123," (2022).  Promoting Social and Behavioral Success for Learning in Elementary Schools: Introduction to Recommendations , (),  . "
1124,"Zhao, Jian, Houghton, Stephen, Glasgow, Ken (2022).  International Students' Mental Health Amidst COVID-19-A Systematic Review Based on Current Evidence Education Research and Perspectives (Online), 49(),  29. "
1125,"Zhao, Jian, Chapman, Elaine, O'Neill, Marnie (2022).  Mental Health Risks for Chinese International Students in Australia: Enduring Problems, Possible Solutions Education Research and Perspectives (Online), 49(),  1. "
1126,"Barry, Caroline M, MPH, Garrett, Brady A, PhD, Livingston, Melvin D, PhD, Kominsky, Terrence K, PhD, Livingston, Bethany J, BS, Komro, Kelli A, MPH, PhD (2022).  PERCEIVED RACIAL/ETHNIC DISCRIMINATION AND DEPRESSIVE SYMPTOMS AMONG ADOLESCENTS LIVING IN THE CHEROKEE NATION American Indian and Alaska Native Mental Health Research (Online), 29(1),  22. "
1127,"Elias, Carolyn L, Gorey, Kevin M (2022).  Online Social Networking among Clinically Depressed Young People: Scoping Review of Potentially Supportive or Harmful Behaviors Journal of Technology in Human Services, 40(1),  79. 10.1080/15228835.2021.2010163"
1129,"McWey, Lenore M, PhD (2022).  Systemic interventions for traumatic event exposure: A 2010– 2019 decade review Journal of Marital and Family Therapy, 48(1),  204. 10.1111/jmft.12547"
1131,"Abdelfettah Elkchirid PhD, Maryam Motia MA (2022).  Condors and tigers: a literature review on arts, social support, and mental health among immigrant children in Canada Social Work in Mental Health, 20(1),  92. 10.1080/15332985.2021.1980481"
1132,"Yaffe, Yosi (2021).  A narrative review of the relationship between parenting and anxiety disorders in children and adolescents International Journal of Adolescence and Youth, 26(1),  449. 10.1080/02673843.2021.1980067"
1133,"Younis, Maha Sulaiman, Khudhiar Lafta Riyadh (2021).  The plight of women in Iraq: Gender disparity, violence, and mental health The International Journal of Social Psychiatry, 67(8),  977. 10.1177/00207640211003602"
1135,"Hui, Ting Ting, Garvey, Loretta, Olasoji, Michael (2021).  Improving the physical health of young people with early psychosis with lifestyle interventions: Scoping review International Journal of Mental Health Nursing, 30(6),  1498. 10.1111/inm.12922"
1136,"Blewitt, Claire, Amanda O’Connor, Morris, Heather, May, Tamara, Mousa, Aya, Bergmeier, Heidi, Nolan, Andrea, Jackson, Kylie, Barrett, Helen, Skouteris, Helen (2021).  A systematic review of targeted social and emotional learning interventions in early childhood education and care settings Early Child Development and Care : ECDC, 191(14),  2159. 10.1080/03004430.2019.1702037"
1137,"Tapias Eva, Coromina Marta, Grases Nuria, Ochoa, Susana (2021).  Psychological Treatments with Children of Parents with Mental Illness: A Systematic Review Child & Youth Care Forum, 50(6),  1107. 10.1007/s10566-021-09608-2"
1138,"MaClellan, Victoria, Yates, Peter (2021).  WHAT EVIDENCE IS THERE TO SUPPORT PARENTAL ACE SCREENING WITHIN HEALTH VISITING PRACTICE? A LITERATURE REVIEW: THE JOURNAL OF THE HEALTH VISITORS' ASSOCIATION Community Practitioner, 94(6),  44. "
1139,"Del Pozzo, Jill, Walsh-Messinger, Julie, Antonius, Daniel (2021).  The influence of childhood trauma on aggression and violent behavior in first episode psychosis: A critical review Aggression and Violent Behavior, 61(),  1. 10.1016/j.avb.2021.101677"
1140,"Hielscher, Emily, Moores, Catherine, Blenkin, Melanie, Jadambaa, Amarzaya, Scott, James G (2021).  Intervention programs designed to promote healthy romantic relationships in youth: A systematic review Journal of Adolescence, 92(),  194. 10.1016/j.adolescence.2021.08.008"
1142,"Behice Humeyra Kara, Stuart, Jaimee (2021).  The direct and indirect effects of parental trauma on child adjustment for resettled refugees in Australia International Journal of Migration, Health, and Social Care, 17(4),  474. 10.1108/IJMHSC-04-2020-0035"
1143,"Zace, D, Orfino, A, Viteritti, A M, Diakanthos, M, ML Di Pietro (2021).  Knowledge and attitudes of young women regarding preconception health-An Italian survey European Journal of Public Health, suppl. 3, 31(),  . 10.1093/eurpub/ckab164.072"
1144,"Hoffmann, S, Sander, L, Blume, M, Schneider, S, Herke, M, Fialho, P M, Pischke, C R, Schüttig, W, Lampert, T, Spallek, J (2021).  Do families have moderating or mediating effects on early health inequalities? A scoping review European Journal of Public Health, suppl. 3, 31(),  . 10.1093/eurpub/ckab165.506"
1145,"Fischer, L, Kölligan, V, Klein, M (2021).  A digital health intervention for young refugees: intervention development and initial dropout rates European Journal of Public Health, suppl. 3, 31(),  . 10.1093/eurpub/ckab164.278"
1146,"Green, L, Edmonds, N (2021).  Climate Change in Wales and its health impact: Who is vulnerable and how? European Journal of Public Health, suppl. 3, 31(),  . 10.1093/eurpub/ckab164.024"
1147,"Ram, B, Foley, K, E van Sluijs, Hargreaves, D, Viner, R, Saxena, S (2021).  A core outcome set for school-based physical activity interventions: an international consensus European Journal of Public Health, suppl. 3, 31(),  . 10.1093/eurpub/ckab164.751"
1148,"Hassanein, Z, Langley, T, Bogdanovica, I, Murray, R, Leonardi-Bee, J (2021).  Experiences and views on SHS exposure prevention in Middle Eastern countries: a systematic review European Journal of Public Health, suppl. 3, 31(),  . 10.1093/eurpub/ckab165.521"
1149,"Wilson, Naomi, McDaid, Shari (2021).  The mental health effects of a Universal Basic Income: A synthesis of the evidence from previous pilots Social Science & Medicine, 287(),  1. 10.1016/j.socscimed.2021.114374"
1151,"Power, Edmond, Sharif, Farhana (2021).  76 A primary care approach to paediatric mental health disorders in Ireland Archives of Disease in Childhood, 106(Suppl 2),  A32. 10.1136/archdischild-2021-europaediatrics.76"
1152,"Abiramy Fernando (2021).  159 The rise of disordered eating patterns in paediatric diabetes: a literature review Archives of Disease in Childhood, 106(Suppl 1),  A5. 10.1136/archdischild-2021-rcpch.9"
1153,"Bindya Sajan (2021).  589 Is there an association between mild traumatic brain injury and subsequent behavioural and/or psychological problems in children under 18 years of age? Archives of Disease in Childhood, 106(Suppl 1),  A50. 10.1136/archdischild-2021-rcpch.86"
1154,"Pales, Jessica, Street, Karen (2021).  1604 A biopsychosocial model of care for children and young people (CYP) with persistent, unexplained, physical symptoms (PUPS) J Pales*, K Street, R Howells Archives of Disease in Childhood, 106(Suppl 1),  A426. 10.1136/archdischild-2021-rcpch.741"
1155,"McCafferty, Paul, McCutcheon, Judith (2021).  Parenting a Child with Autism: Considering the Stresses, Supports and Implications for Social Work Practice Child Care in Practice, 27(4),  389. 10.1080/13575279.2020.1765145"
1156,"Klein, L B, Martin, Sandra L (2021).  Sexual Harassment of College and University Students: A Systematic Review Trauma, Violence & Abuse, 22(4),  777. 10.1177/1524838019881731"
1158,"Pulverman, Carey S, Creech, Suzannah K (2021).  The Impact of Sexual Trauma on the Sexual Health of Women Veterans: A Comprehensive Review Trauma, Violence & Abuse, 22(4),  656. 10.1177/1524838019870912"
1159,"Liu, Xiao-xia (2021).  A SYSTEMATIC REVIEW OF PREVENTION AND INTERVENTION STRATEGIES FOR SMARTPHONE ADDICTION IN STUDENTS: APPLICABILITY DURING THE COVID-19 PANDEMIC Journal of Evidence - Based Psychotherapies, 21(2),  3. "
1160,"Lagdon, Susan, Grant, Anne, Davidson, Gavin, Devaney, John, Donaghy, Mary, Duffy, Joe, Galway, Karen, McCartan, Claire (2021).  Families with Parental Mental Health Problems: A Systematic Narrative Review of Family‐Focused Practice Child Abuse Review, 30(5),  400. 10.1002/car.2706"
1162,"Crompton, Chloe, Duncan, Bethany, Simpson-Adkins, Graham (2021).  A systematic review of adverse childhood experiences (ACEs) with people with intellectual disabilities: an unsafe gap in the literature Advances in Mental Health and Intellectual Disabilities, 15(5),  158. 10.1108/AMHID-10-2020-0024"
1163,"King, Shannon C, Rebar, Amanda L, Oliveri, Paul, Stanton, Robert (2021).  Mental health training for Australian undergraduate paramedic science students: a review The Journal of Mental Health Training, Education, and Practice, 16(5),  373. 10.1108/JMHTEP-06-2020-0034"
1165,"Trumm, Aile, Brenisin, Kristina, Breen, Kieran (2021).  Inequalities in women’s medium or low secure mental health settings: a scoping review Journal of Forensic Practice, 23(3),  254. 10.1108/JFP-04-2021-0017"
1166,"Pine, Russell, Mbinta, James, Lisa Te Morenga, Fleming, Theresa (2021).  A Casual Video Game With Psychological Well-being Concepts for Young Adolescents: Protocol for an Acceptability and Feasibility Study JMIR Research Protocols, 10(8),  . 10.2196/31588"
1167,"Lee, Jane Jiyoun, Holmes, Lisa (2021).  Longitudinal trajectories of behavioral problems among children in out-of-home care: A systematic review Children and Youth Services Review, 127(),  1. 10.1016/j.childyouth.2021.106086"
1168,"Hotton, Anna, Mackesy-Amiti, Mary-Ellen, Boodram, Basmattee (2021).  Trends in homelessness and injection practices among young urban and suburban people who inject drugs: 1997-2017 Drug and Alcohol Dependence, 225(),  1. 10.1016/j.drugalcdep.2021.108797"
1170," (2021).  Addressing Food Insecurity in Primary Care The Journal for Nurse Practitioners, 17(7),  799. 10.1016/j.nurpra.2021.03.017"
1172,"Alba‐Elena Martinez‐Santos, Josefa del Carmen Fernandez‐De‐La‐Iglesia, Sheaf, Greg, Coyne, Imelda (2021).  A systematic review of the educational experiences and needs of children with cancer returning to school Journal of Advanced Nursing, 77(7),  2971. 10.1111/jan.14784"
1173,"Reece, Rebecca, Bray, Isabelle, Sinnett, Danielle, Hayward, Robert, Martin, Faith (2021).  Exposure to green space and prevention of anxiety and depression among young people in urban settings: a global scoping review Journal of Public Mental Health, 20(2),  94. 10.1108/JPMH-02-2021-0030"
1174,"Greene, M Claire, Likindikoki, Samuel, Rees, Susan, Bonz, Annie, Kaysen, Debra, Misinzo, Lusia, Njau, Tasiana, Kiluwa, Shangwe, Turner, Rachael, Ventevogel, Peter, Mbwambo, Jessie K K, Tol, Wietse A (2021).  Evaluation of an integrated intervention to reduce psychological distress and intimate partner violence in refugees: Results from the Nguvu cluster randomized feasibility trial PLoS One, 16(6),  . 10.1371/journal.pone.0252982"
1177,"Hébert, Martine, Lapierre, Andréanne, MacIntosh, Heather B, Ménard, A Dana (2021).  A Review of Mediators in the Association between Child Sexual Abuse and Revictimization in Romantic Relationships Journal of Child Sexual Abuse, 30(4),  385. 10.1080/10538712.2020.1801936"
1178,"Read, Ashley K, McComiskey, Carmel A (2021).  The Implementation and Evaluation of the SCOFF (Sick, Control, One Stone, Fat, Food) Eating Disorder Screening Tool for Children and Adolescents Pediatric Nursing, 47(3),  124. "
1181,"Cedeño, Stephanie M (2021).  Conexiones: Brokering Connections with Unaccompanied Immigrant Adolescents in Secondary Schools School Social Work Journal, 45(2),  1. "
1182,"Guijarro Gallego, A., Martínez Pérez, A., Fernández Fernández, V., Alcántara-López, M., Castro Sáez, M. (2021).  Life Satisfaction in Adolescents: Relationship with Parental Style, Peer Attachment and Emotional Intelligence Electronic Journal of Research in Educational Psychology, 19(53),  51. "
1183,"Wennberg, Erica, Lasry, Ariane, Windle, Sarah B, Filion, Kristian B, Thombs, Brett D, Gore, Genevieve, Fischer, Benedikt, Eisenberg, Mark J (2021).  Non-medical cannabis use among Indigenous Canadians: A systematic review of prevalence and associated factors The International Journal on Drug Policy, 90(),  1. 10.1016/j.drugpo.2020.103081"
1184,"Gallego, Alba Guijarro, Pérez, Antonia Martínez, Fernández, Visitación Fernández, Alcántara-López, Mavi, Sáez, Maravillas Castro (2021).  Satisfacción con la vida en adolescentes: relación con el estilo parental, el apego a los iguales y la inteligencia emocional Revista Electrónica de Investigación Educativa y Psicopedagógica, 19(1),  51. "
1185,"Leza, Leire, Siria, Sandra, López-Goñi, José J, Fernández-Montalvo, Javier (2021).  Adverse childhood experiences (ACEs) and substance use disorder (SUD): A scoping review Drug and Alcohol Dependence, 221(),  1. 10.1016/j.drugalcdep.2021.108563"
1186,"Hardin, Heather K, Bender, Anna E, Hermann, Carla P, Speck, Barbara J (2021).  An integrative review of adolescent trust in the healthcare provider relationship Journal of Advanced Nursing, 77(4),  1645. 10.1111/jan.14674"
1188,"Smith, Douglas, Leonis, Trinity, Anandavalli, S (2021).  Belonging and loneliness in cyberspace: impacts of social media on adolescents’ well-being Australian Journal of Psychology, 73(1),  12. 10.1080/00049530.2021.1898914"
1189,"Finch, Meghan, Featherston, Rebecca, Chakraborty, Sangita, Bjørndal, Ludvig, Mildon, Robyn, Albers, Bianca, Fiennes, Caroline, Taylor, David J A, Schachtman, Rebecca, Yang, Taoran, Shlonsky, Aron (2021).  Interventions that address institutional child maltreatment: An evidence and gap map Campbell Systematic Reviews, 17(1),  . 10.1002/cl2.1139"
1190,"Goldhagen, Renata FS, Davidtz, Jennifer (2021).  Violence, older adults, and serious mental illness Aggression and Violent Behavior, 57(),  1. 10.1016/j.avb.2020.101439"
1191,"Chiang, Laura, Howard, Ashleigh, Stoebenau, Kirsten, Massetti, Greta M, Rose Apondi, Hegle, Jennifer, Mondo Kyatekka, Stamatakis, Caroline, Wasula, Lydia, Aluzimbi, George (2021).  Sexual risk behaviors, mental health outcomes and attitudes supportive of wife-beating associated with childhood transactional sex among adolescent girls and young women: Findings from the Uganda Violence Against Children Survey PLoS One, 16(3),  . 10.1371/journal.pone.0249064"
1192,"Pandey, Achyut Raj, Neupane, Tamanna, Chalise, Binaya, Shrestha, Niraj, Chaudhary, Sabina, Raja Ram Dhungana, Bista, Bihungum (2021).  Factors associated with physical and sexual violence among school-going adolescents in Nepal: Findings from Global School-based Student Health Survey PLoS One, 16(3),  . 10.1371/journal.pone.0248566"
1194,"Sadeghi, Noushine, Smiley, Yael, MD, Chokshi, Binny, MD (2021).  SUPPORTING TEEN PARENTS DURING COVID-19 Journal of Adolescent Health, suppl. Mapping an Agenda to Transform the Future of Adolescent Health, 68(2S),  . "
1196,"Barnett, Miya L, Sheldrick, R Christopher, Liu, Sabrina R, Kia-Keating, Maryam, Negriff, Sonya (2021).  Implications of adverse childhood experiences screening on behavioral health services: A scoping review and systems modeling analysis The American Psychologist, 76(2),  364. 10.1037/amp0000756"
1197,"Briggs, Ernestine C, Amaya-Jackson, Lisa, Putnam, Karen T, Putnam, Frank W (2021).  All adverse childhood experiences are not equal: The contribution of synergy to adverse childhood experience scores The American Psychologist, 76(2),  243. "
1198,"Whisler, Adam, Dosani, Naheed, To, Matthew J, Kristen O’Brien, Young, Samantha, Hwang, Stephen W (2021).  The effect of a Housing First intervention on primary care retention among homeless individuals with mental illness PLoS One, 16(2),  . 10.1371/journal.pone.0246859"
1199,"Edwards, Samantha (2021).  Exploring Parents' Understanding of Their Children's Mental Health and Wellbeing : from Experience to Discourse , (),  . "
1200,"Alamri, Hamdan (2021).  Oral Health for Children with Special Healthcare Needs (CSHCNs) , (),  394. "
1201,"Reed, Hayley (2021).  Co-Producing School-Based Mental Health and Wellbeing Interventions : a Mixed Methods Intervention Development Study , (),  . "
1202,"Petersen, Kimberly J. (2021).  Classes, Covariates, and Change: Taking a Person-Oriented Approach to Investigate Child and Adolescent Mental Health , (),  390. "
1203,"Krabbe, Janina, Jiao, Sunny, Guta, Adrian, Slemon, Allie, Aman Ahluwalia Cameron, Bungay, Vicky (2021).  Exploring the operationalisation and implementation of outreach in community settings with hard-to-reach and hidden populations: protocol for a scoping review BMJ Open, 11(2),  . 10.1136/bmjopen-2020-039451"
1204,"Heyes, Mike (2021).  Influences on Worker’s Role with Children in Residential Settings: A Grounded Theory , (),  207. "
1205,"Knaggs, Christopher (2021).  Working Memory Deficits in Chronic Pain , (),  164. "
1206,"Dhillon, Jesvir (2021).  No Mental Health Without Young People : a Thematic Synthesis of Young People's Views and Experiences of School-Based Group Mental Health Interventions and a Study Exploring Facilitators' and Young People's Experiences of a School-Based Internet Cognitive Behaviour Therapy (iCbt) Intervention Programme Called 'Braive - Managing Anxiety for Youth' , (),  . "
1207,"Spauls, Joanne (2021).  Bolstering Youth Mental Health and Wellbeing : an Exploration on Acceptance and Commitment Therapy, Possible Selves and Structured Activity , (),  . "
1208,"Tremlin, Rachel (2021).  Mental Health Stigma Towards Offenders and Juror Decision Making , (),  . "
1209,"James, Bernard (2021).  Part III: External Reforms and the Duty to Protect The University of Memphis Law Review, 51(3),  613. "
1211,"García-Parra, Martín, Negre, Francisca, Verger, Sebastià (2021).  Educational Programs to Build Resilience in Children, Adolescent or Youth with Disease or Disability: A Systematic Review Education Sciences, 11(),  . "
1212,"Khaki, Zahra (2021).  Thesis Submitted in Partial Fulfilment of the Degree of Doctor of Clinical Psychology (DClinPsy) , (),  . "
1213,"Powell-Booth, Karyl Tawina (2021).  An Exploration of the Factors Associated with Suicide Risk and Self-Harm in Jamaica , (),  . "
1214,"Duncan, Matthew Bluett (2021).  A Cross-Cultural Comparison of the Role of Maternal Mental Health in the Prediction of Infant Cognitive Development and Empirical Investigation of the Role of Early Caregiving in India , (),  369. "
1215,"Cao, Jiepin, Gallis, John A, Ali, Mohammed, Lillie, Margaret, Abubakr-Bibilazu, Safiyatu, Haliq Adam, McEwan, Elena, Awoonor-Williams, John Koku, Hembling, John, Baumgartner, Joy Noel (2021).  The impact of a maternal mental health intervention on intimate partner violence in Northern Ghana and the mediating roles of social support and couple communication: secondary analysis of a cluster randomized controlled trial BMC Public Health, 21(),  1. 10.1186/s12889-021-12121-9"
1216,"Aziz, Abdul Rashid Abdul, Kasmani, Mohd Faizal, Razak, Nor Hamizah Ab (2021).  IMPLIKASI KETAGIHAN MEDIA SOSIAL TERHADAP KESIHATAN MENTAL REMAJA SEMASA PANDEMIK COVID-19 e-BANGI, suppl. Special Issues: Social Issues and Challenges of The Covid Pandemic 19, 18(8),  66. "
1217,"Miller, Nicole C., Kumar, Saravana, Pearce, Karma L., Baldock, Katherine L. (2021).  The Outcomes of Nature-Based Learning for Primary School Aged Children: A Systematic Review of Quantitative Research Environmental Education Research, 27(8),  1115. 10.1080/13504622.2021.1921117"
1218,"Temin, Miriam, Misunas, Christina, Martin, Erika (2021).  Smarter Investments in Girls Today to Prepare Them to Thrive Tomorrow The SAIS Review of International Affairs, 41(1),  3. "
1219,"Macdonald, Dianne (2021).  Understanding Emergent Literacy and Improving Reading Comprehension of Preschool Children with Autism Spectrum Disorder and Hyperlexia , (),  202. "
1220,"Hanks, Camille E. (2021).  Predictors of Goal Attainment among High School Students in Accelerated Academic Curricula Receiving School-Based Motivational Interviewing Intervention , (),  204. "
1221,"Schacter, Hannah L, Lessard, Leah M, Kiperman, Sarah, Bakth Faizun, Ehrhardt, Alexandra, Uganski Janelle (2021).  Can Friendships Protect Against the Health Consequences of Peer Victimization in Adolescence? A Systematic Review School Mental Health, 13(3),  578. 10.1007/s12310-021-09417-x"
1222,"Hennessy, Bridget (2021).  Lived Experiences of Returning Service Members Reintegrating with Their Children on the Autism Spectrum , (),  234. "
1223,"Young, Susan B. (2021).  The Effect of Placement Stability on the Mental Health of Children in Foster Care , (),  86. "
1224,"Khadka, Aayush (2021).  Housing Instability, Air Pollution, and Health: Three Studies from the United States , (),  175. "
1225,"Oja, Charlotte (2021).  Upholding Family Relationships in a Context of Increasing Awareness of Parental Illness , (),  82. "
1226,"Sengönül, Turhan (2021).  The Adverse Role of Poverty in the Socialization Processes in the Family and in the Cognitive Development of Children and School Performance Pegem Journal of Education and Instruction, 11(2),  1. "
1227,"Harrel, Tamika Lynn (2021).  Female Athletes’ Perceptions of Coach Responsibility when Managing Female Athletes with an Eating Disorder: A Systematic Literature Review , (),  96. "
1228,"Weeks, Angela Marie (2021).  Culturally Adapting Evidence-Based and Informed Practices to Meet Client Population Needs and Ensure Appropriate Allocation of Scarce Resources: A Systematic Review , (),  153. "
1229,"Dreisbach, Sarah (2021).  Trauma-Informed Care in School Districts , (),  58. "
1230,"Mossop, Minnie (2021).  A Sequential Explanatory Mixed-Methods Study of Caring with Caring: An Evaluation of a Tailored Early Childhood Mental Health Professional Development Program , (),  256. "
1231,"Praag, Lore Van, Daenekindt, Stijn (2021).  Beyond Disciplinary Blind Spots: A Systematic Review of Research on Ethnicity and Race in Secondary Education Using Automated Text Analysis Diversities, 23(1),  105. "
1232,"Ohadomere, Ogechi, Ogamba, Ikedinachi K (2021).  Management-led interventions for workplace stress and mental health of academic staff in higher education: a systematic review The Journal of Mental Health Training, Education, and Practice, 16(1),  67. 10.1108/JMHTEP-07-2020-0048"
1233,"Huang, Xinyi, Zou, Di, Cheng, Gary, Xie, Haoran (2021).  A Systematic Review of AR and VR Enhanced Language Learning Sustainability, 13(9),  4639. 10.3390/su13094639"
1234,"Dion, Anna, Klevor, Aime, Nakajima, Amy, Andersson, Neil (2021).  Evidence‐based priorities of under‐served pregnant and parenting adolescents: addressing inequities through a participatory approach to contextualizing evidence syntheses International Journal for Equity in Health, 20(),  1. 10.1186/s12939-021-01458-7"
1235,"Mkabile, Siyabulela, Garrun, Kathrine L, Shelton, Mary, Swartz, Leslie (2021).  African families’ and caregivers’ experiences of raising a child with intellectual disability: A narrative synthesis of qualitative studies African Journal of Disability, 10(),  . 10.4102/ajod.v10i0.827"
1236,"Cohen, Carol E, Barron, Ian G (2021).  Trauma-Informed High Schools: A Systematic Narrative Review of the Literature School Mental Health, 13(2),  225. 10.1007/s12310-021-09432-y"
1237,"Kerwin, Donald, Nicholson, Mike (2021).  Charting a Course to Rebuild and Strengthen the US Refugee Admissions Program (USRAP): Findings and Recommendations from the Center for Migration Studies Refugee Resettlement Survey: 2020 Journal on Migration and Human Security, 9(1),  1. 10.1177/2331502420985043"
1238,"Seifo, Nassar (2021).  A Multi-Methods Approach to Build Evidence-Based Practice for Using Silver Diamine Fluoride for Managing Carious Lesions in Children , (),  . "
1239,"Jedrzejek, Michael John (2021).  Implementations for the Development of Strategies Used to Shorten the Duration of Time Children Spend in Foster Care , (),  112. "
1240,"Westphaln, Kristi K, Regoeczi, Wendy, Masotya, Marie, Vazquez-Westphaln, Bridget, Lounsbury, Kaitlin, McDavid, Lolita, Lee, HaeNim, Johnson, Jennifer, Ronis, Sarah, Herbert, James, Cross, Theodore, Walsh, Wendy (2021).  Outcomes and outputs affiliated with Children's Advocacy Centers in the United States: A scoping review Child Abuse & Neglect, 111(),  1. 10.1016/j.chiabu.2020.104828"
1241,"Mackie, Grace, Lambert, Karen, Patlamazoglou Lefteris (2021).  The Mental Health of Transgender Young People in Secondary Schools: A Scoping Review School Mental Health, 13(1),  13. 10.1007/s12310-020-09403-9"
1242,"Szilassy, Eszter, Roy, Jessica, Williamson, Emma, Pitt, Katherine, Mei-See, Man, Feder, Gene (2021).  Reaching everyone in general practice? Feasibility of an integrated domestic violence training and support intervention in primary care BMC Family Practice, 22(),  1. 10.1186/s12875-020-01297-5"
1243,"Dadras, Omid, Nakayama, Takeo, Kihara, Masahiro, Ono-Kihara, Masako, Seyedalinaghi, Seyedahmad, Dadras, Fateme (2021).  The prevalence and associated factors of adverse pregnancy outcomes among Afghan women in Iran; Findings from community-based survey PLoS One, 16(1),  . 10.1371/journal.pone.0245007"
1244,"Fleury, Marie-Josée, Grenier, Guy, Sabetti, Judith, Bertrand, Karine, Clément, Michèle, Brochu, Serge (2021).  Met and unmet needs of homeless individuals at different stages of housing reintegration: A mixed-method investigation PLoS One, 16(1),  . 10.1371/journal.pone.0245088"
1245,"Scoglio Arielle A J, Kraus, Shane W, Saczynski, Jane, Jooma Shehzad, Molnar, Beth E (2021).  Systematic Review of Risk and Protective Factors for Revictimization After Child Sexual Abuse Trauma, Violence & Abuse, 22(1),  41. 10.1177/1524838018823274"
1246,"Munoz, Sara (2021).  The Subjective Lived Experience of Los Angeles County Child and Adolescent Suicide Review Team Members , (),  57. "
1247,"Kemmis-Riggs, Jacqueline, McAloon, John (2020).  A Narrative Review of the Needs of Children in Foster and Kinship Care: Informing a Research Agenda Behaviour Change, 37(4),  171. 10.1017/bec.2020.11"
1249,"Owczarek, Marcin, McAnee, Grainne, McAteer, Donal, Shevlin, Mark (2020).  What do young people worry about? A systematic review of worry theme measures of teen and preteen individuals Children Australia, 45(4),  285. 10.1017/cha.2020.56"
1250,"Cañas, María, Ibabe, Izaskun, De Paúl, Joaquín (2020).  Promising observational instruments of parent-child (0–12 years) interaction within the child protection system: A systematic review Child Abuse & Neglect, 109(),  1. 10.1016/j.chiabu.2020.104713"
1253,"Rapoport, L, Poole, DN, Kazanas, K, Mourtzaki, M, Bump, JB (2020).  Distal determinants of mental health conditions (MHC) for asylum-seeking children in Greece: A health system enhancement study Health Policy, 124(10),  1137. 10.1016/j.healthpol.2020.07.006"
1254,"Lee, Albert, Lo, Amelia, Li, Queenie, Keung, Vera, Kwong, Amy (2020).  Health Promoting Schools: An Update Applied Health Economics and Health Policy, 18(5),  605. 10.1007/s40258-020-00575-8"
1255,"Wang, Miao, Sokol, Rebeccah, Luan, Hui, Perron, Brian E, Victor, Bryan G, Wu, Shiyou (2020).  Mental health service interventions for left-behind children in mainland China: A systematic review of randomized controlled trials Children and Youth Services Review, 117(),  1. 10.1016/j.childyouth.2020.105304"
1256,"Hoskins, David, Tahir, Peggy, Del Cid, Margareth, Perez-Gualdron, Leyla, Tolou-Shams, Marina (2020).  Ecological systems in relation to Latinx youth in the juvenile justice system: A narrative literature review Children and Youth Services Review, 117(),  1. 10.1016/j.childyouth.2019.104669"
1257,"Pales, J, Street, K, Howells, R, Lee, A, Burrows, J, Boyd, A, Bloomfield, T, Palfrey, V (2020).  G257 A biopsychosocial model of care for children and young people (CYP) with persistent, unexplained, physical symptoms (PUPS) Archives of Disease in Childhood, 105(Suppl 1),  A93. 10.1136/archdischild-2020-rcpch.221"
1259,"Sharma, Ayushi (2020).  Impact of COVID-19 on mental health and its coping stratergies in Indians: A literature review IAHRW International Journal of Social Sciences Review, 8(7-9),  345. "
